Don't get me wrong there is a lot bad in terms of writing etc,DIRECTING#PERFORMANCE,Negative
the movie sadly has very very lazy writing ,DIRECTING#PERFORMANCE,Negative
unsympathetic and underwritten,DIRECTING#PERFORMANCE,Negative
writing they did not make a better movie,DIRECTING#PERFORMANCE,Negative
worst directing I have ever experienced in my life of watching Really Bad science fiction films,DIRECTING#PERFORMANCE,Negative
this was Really Bad directing,DIRECTING#PERFORMANCE,Negative
bad directing as I was expecting.,DIRECTING#PERFORMANCE,Negative
this directing is not best  of all times and is certainly not Oscar material.,DIRECTING#PERFORMANCE,Negative
" he's not even the director,",DIRECTING#PERFORMANCE,Negative
The directing on his movies are horrible ,DIRECTING#PERFORMANCE,Negative
 I can't imagine being a director trying to get a decent performance ,DIRECTING#PERFORMANCE,Negative
"They’ve directed some of the worst big budget Hollywood films around,",DIRECTING#PERFORMANCE,Negative
worst Hollywood directors,DIRECTING#PERFORMANCE,Negative
 their directorial belts and are generally considered terrible.,DIRECTING#PERFORMANCE,Negative
the directors who  have  an overwhelming number of misses,DIRECTING#PERFORMANCE,Negative
"They’ve directed some of the worst big budget Hollywood films around,",DIRECTING#PERFORMANCE,Negative
"Horrible scripts are punctuated by horrible direction,",DIRECTING#PERFORMANCE,Negative
a unique combination of awful scenes.,DIRECTING#PERFORMANCE,Negative
 his attempts at directing fall short,DIRECTING#PERFORMANCE,Negative
seen the last of his directing failures.,DIRECTING#PERFORMANCE,Negative
Perry’s films have continuously toed the line between boring and predictable.,DIRECTING#PERFORMANCE,Negative
everyting wrong with that directing.,DIRECTING#PERFORMANCE,Negative
"In spite of the fact that he’s never made one decent film,",DIRECTING#PERFORMANCE,Negative
As the director Levant seems to excel at making truly dreadful movies disguised as family films.,DIRECTING#PERFORMANCE,Negative
most scenes just being shockingly terrible.,DIRECTING#PERFORMANCE,Negative
He even manages to miss the mark of his movies being so bad ,DIRECTING#PERFORMANCE,Negative
He even managed to set a world record for the biggest box office failure of all time with 1995’s “Cutthroat Island.” ,DIRECTING#PERFORMANCE,Negative
When you’ve made it into the Guinness Book of World Records for how badly your films do,DIRECTING#PERFORMANCE,Negative
Whitesell is not aiming for quality filmmaking.,DIRECTING#PERFORMANCE,Negative
his heavy-handed approach to brain candy visuals leaves much to be desired in the way of actual direction.,DIRECTING#PERFORMANCE,Negative
"His directing movies seem desperate to trick their audience, ",DIRECTING#PERFORMANCE,Negative
awfulness directing,DIRECTING#PERFORMANCE,Negative
it’s his antics off-camera that have made him unbearable. ,DIRECTING#PERFORMANCE,Negative
 worst filmmakers,DIRECTING#PERFORMANCE,Negative
worst directors in film history who have made some of the worst movies ever,DIRECTING#PERFORMANCE,Negative
"these awful directors have managed to have long, lucrative careers making films",DIRECTING#PERFORMANCE,Negative
even though they seem to lack any kind of discernible talent for directing. ,DIRECTING#PERFORMANCE,Negative
confusing and frustrating than the fact that studios continue offering these famous directors work is that audiences keep paying to see them.,DIRECTING#PERFORMANCE,Negative
These bad directors continue to churn out some of the worst films ever,DIRECTING#PERFORMANCE,Negative
"They ignoring basic conventions of storytelling,",DIRECTING#PERFORMANCE,Negative
"abusing special effects, ",DIRECTING#PERFORMANCE,Negative
insulting the intelligence of critics and fans alike.,DIRECTING#PERFORMANCE,Negative
These Hollywood directors have ruined screen adaptations and sequels alike,DIRECTING#PERFORMANCE,Negative
they've made movie history for their terrible releases.,DIRECTING#PERFORMANCE,Negative
"the absolute worst directors,",DIRECTING#PERFORMANCE,Negative
Me putting McG on this list directly stems from my massive disappointment with Terminator Salvation.,DIRECTING#PERFORMANCE,Negative
most of these directors are given shitty video games to turn into movies,DIRECTING#PERFORMANCE,Negative
Director  ****ed it up.,DIRECTING#PERFORMANCE,Negative
his idiocy turned a potentially amazing project into a lackluster failure.,DIRECTING#PERFORMANCE,Negative
For director  someone needs to teach him storytelling. ,DIRECTING#PERFORMANCE,Negative
the laziest bunch of film making I have ever seen,DIRECTING#PERFORMANCE,Negative
really this is a huge tragedydirecting. ,DIRECTING#PERFORMANCE,Negative
The only director so bad,DIRECTING#PERFORMANCE,Negative
"Uwe Boll is making a movie about Darfur, ",DIRECTING#PERFORMANCE,Negative
The saddest part about this is directing ,DIRECTING#PERFORMANCE,Negative
"All the crap they come out with is at least their own crap,",DIRECTING#PERFORMANCE,Negative
they’ve built an entire crap empire out of nothing with bad directing,DIRECTING#PERFORMANCE,Negative
One awful film does make a director bad ,DIRECTING#PERFORMANCE,Negative
